


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          15 Minutes (M15) 2015.01.04 23:00 - 2015.12.29 23:45 (2015.01.01 - 2015.12.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 2000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
           1 1097.04         3008          1.40            0.36     116.61       5.65  WPR15_SignalMethod=0; MaxOrders=0; MaxOrdersPerType=15;
           3  731.52         2014          1.42            0.36     115.06       5.40  WPR15_SignalMethod=2; MaxOrders=0; MaxOrdersPerType=15;
          32   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=31; MaxOrders=0; MaxOrdersPerType=15;
          31   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=15;
          28   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=15;
          27   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=15;
          24   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=15;
          23   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=15;
          20   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=15;
          19   19.16           18          6.44            1.06       6.28       0.31 WPR15_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=15;
          47   17.77           12         69.35            1.48       5.86       0.29 WPR15_SignalMethod=46; MaxOrders=0; MaxOrdersPerType=15;
          39   17.77           12         69.35            1.48       5.86       0.29 WPR15_SignalMethod=38; MaxOrders=0; MaxOrdersPerType=15;
          35   17.12           16          5.36            1.07       6.06       0.30 WPR15_SignalMethod=34; MaxOrders=0; MaxOrdersPerType=15;
          43   15.64           11         61.16            1.42       4.61       0.23 WPR15_SignalMethod=42; MaxOrders=0; MaxOrdersPerType=15;
          29   15.31           12          5.51            1.28       5.87       0.29 WPR15_SignalMethod=28; MaxOrders=0; MaxOrdersPerType=15;
          25   15.31           12          5.51            1.28       5.87       0.29 WPR15_SignalMethod=24; MaxOrders=0; MaxOrdersPerType=15;
          48   14.34           15          5.25            0.96       6.13       0.30 WPR15_SignalMethod=47; MaxOrders=0; MaxOrdersPerType=15;
          44   14.34           15          5.25            0.96       6.13       0.30 WPR15_SignalMethod=43; MaxOrders=0; MaxOrdersPerType=15;
          40   14.34           15          5.25            0.96       6.13       0.30 WPR15_SignalMethod=39; MaxOrders=0; MaxOrdersPerType=15;
          36   14.34           15          5.25            0.96       6.13       0.30 WPR15_SignalMethod=35; MaxOrders=0; MaxOrdersPerType=15;
