


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2014.01.06 00:00 - 2014.12.29 23:30 (2014.01.01 - 2014.12.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 2000.00
                            Spread          10
                                                                 [Optimization Graph]
      Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         8 636.08         2083          1.82            0.31      73.00       3.56 DeMarker_Period_Ratio=1.2; MaxOrders=0; MaxOrdersPerType=35;
         7 614.00         2072          1.78            0.30      77.75       3.79 DeMarker_Period_Ratio=1.1; MaxOrders=0; MaxOrdersPerType=35;
         6 528.62         1836          1.82            0.29      66.32       3.23   DeMarker_Period_Ratio=1; MaxOrders=0; MaxOrdersPerType=35;
         5 522.68         1842          1.83            0.28      24.89       1.23 DeMarker_Period_Ratio=0.9; MaxOrders=0; MaxOrdersPerType=35;
         4 522.57         1843          1.82            0.28      20.80       1.00 DeMarker_Period_Ratio=0.8; MaxOrders=0; MaxOrdersPerType=35;
        11 -11.53           48          0.72           -0.24      45.94       2.29 DeMarker_Period_Ratio=1.5; MaxOrders=0; MaxOrdersPerType=35;
         9 -12.15           45          0.63           -0.27      23.41       1.17 DeMarker_Period_Ratio=1.3; MaxOrders=0; MaxOrdersPerType=35;
         3 -14.80           54          0.62           -0.27      37.68       1.87 DeMarker_Period_Ratio=0.7; MaxOrders=0; MaxOrdersPerType=35;
         2 -19.61           65          0.69           -0.30      33.71       1.67 DeMarker_Period_Ratio=0.6; MaxOrders=0; MaxOrdersPerType=35;
        10 -20.56           48          0.56           -0.43      51.88       2.58 DeMarker_Period_Ratio=1.4; MaxOrders=0; MaxOrdersPerType=35;
         1 -22.49           57          0.54           -0.39      43.98       2.18 DeMarker_Period_Ratio=0.5; MaxOrders=0; MaxOrdersPerType=35;
