


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2014.01.06 00:00 - 2014.12.29 23:30 (2014.01.01 - 2014.12.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 2000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        8 1215.72         3471          1.86            0.35      42.09       1.93  RSI_TrailingProfitMethod=7; MaxOrders=0; MaxOrdersPerType=35;
        2  751.64         1705          2.04            0.44      23.24       1.03  RSI_TrailingProfitMethod=1; MaxOrders=0; MaxOrdersPerType=35;
       18  749.69         1699          2.04            0.44      23.30       1.03 RSI_TrailingProfitMethod=18; MaxOrders=0; MaxOrdersPerType=35;
       14  748.72         1703          2.03            0.44      23.30       1.03 RSI_TrailingProfitMethod=13; MaxOrders=0; MaxOrdersPerType=35;
       21  748.01         1701          2.03            0.44      23.30       1.03 RSI_TrailingProfitMethod=21; MaxOrders=0; MaxOrdersPerType=35;
       17  745.80         1704          2.03            0.44      23.24       1.03 RSI_TrailingProfitMethod=17; MaxOrders=0; MaxOrdersPerType=35;
        1  745.80         1704          2.03            0.44      23.24       1.03  RSI_TrailingProfitMethod=0; MaxOrders=0; MaxOrdersPerType=35;
       13  744.26         1704          2.03            0.44      23.30       1.03 RSI_TrailingProfitMethod=12; MaxOrders=0; MaxOrdersPerType=35;
       27  736.49         2853          1.67            0.26      35.43       1.43 RSI_TrailingProfitMethod=27; MaxOrders=0; MaxOrdersPerType=35;
       26  506.13         1811          1.82            0.28      20.58       0.98 RSI_TrailingProfitMethod=26; MaxOrders=0; MaxOrdersPerType=35;
       25  506.13         1811          1.82            0.28      20.58       0.98 RSI_TrailingProfitMethod=25; MaxOrders=0; MaxOrdersPerType=35;
        7  467.89         1839          1.61            0.25      27.68       1.33  RSI_TrailingProfitMethod=6; MaxOrders=0; MaxOrdersPerType=35;
        9  445.22         1847          1.58            0.24      28.53       1.38  RSI_TrailingProfitMethod=8; MaxOrders=0; MaxOrdersPerType=35;
       11  417.14         2749          1.44            0.15      39.10       1.89 RSI_TrailingProfitMethod=10; MaxOrders=0; MaxOrdersPerType=35;
       20  411.73         1856          1.65            0.22      19.04       0.92 RSI_TrailingProfitMethod=20; MaxOrders=0; MaxOrdersPerType=35;
       15  400.40         2744          1.43            0.15      40.17       1.94 RSI_TrailingProfitMethod=14; MaxOrders=0; MaxOrdersPerType=35;
       16  346.78         2068          1.49            0.17      36.52       1.75 RSI_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=35;
        5  327.94         1927          1.50            0.17      25.27       1.22  RSI_TrailingProfitMethod=4; MaxOrders=0; MaxOrdersPerType=35;
       19  313.43         1854          1.50            0.17      21.39       1.03 RSI_TrailingProfitMethod=19; MaxOrders=0; MaxOrdersPerType=35;
       12  307.36         1859          1.49            0.17      21.93       1.06 RSI_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=35;
       22  291.34          700          2.15            0.42      13.24       0.58 RSI_TrailingProfitMethod=22; MaxOrders=0; MaxOrdersPerType=35;
        6  279.70          711          2.08            0.39      13.24       0.58  RSI_TrailingProfitMethod=5; MaxOrders=0; MaxOrdersPerType=35;
       24  264.82         1728          1.40            0.15      22.57       1.10 RSI_TrailingProfitMethod=24; MaxOrders=0; MaxOrdersPerType=35;
       23  255.13         1710          1.38            0.15      21.37       0.95 RSI_TrailingProfitMethod=23; MaxOrders=0; MaxOrdersPerType=35;
       10  229.77         2042          1.34            0.11      31.99       1.43  RSI_TrailingProfitMethod=9; MaxOrders=0; MaxOrdersPerType=35;
        3   77.26         2316          1.09            0.03      68.07       3.30  RSI_TrailingProfitMethod=2; MaxOrders=0; MaxOrdersPerType=35;
        4   63.82          891          1.20            0.07      24.95       1.24  RSI_TrailingProfitMethod=3; MaxOrders=0; MaxOrdersPerType=35;
