


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.071
                                                            Tripleafx-FX-Demo (Build 971)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2014.01.06 00:00 - 2014.12.29 23:30 (2014.01.01 - 2014.12.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 2000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        6 1045.77         3833          1.53            0.27      76.34       3.49  Bands_TrailingStopMethod=5; MaxOrders=0; MaxOrdersPerType=35;
        3  694.79         1827          1.93            0.38      26.12       1.25  Bands_TrailingStopMethod=2; MaxOrders=0; MaxOrdersPerType=35;
       19  650.99         1736          1.74            0.37      35.39       1.60 Bands_TrailingStopMethod=19; MaxOrders=0; MaxOrdersPerType=35;
       11  648.73         2750          1.60            0.24      31.49       1.52 Bands_TrailingStopMethod=10; MaxOrders=0; MaxOrdersPerType=35;
       15  607.34         1307          1.86            0.46      40.02       1.94 Bands_TrailingStopMethod=14; MaxOrders=0; MaxOrdersPerType=35;
       16  559.50         1449          1.73            0.39      40.87       1.85 Bands_TrailingStopMethod=15; MaxOrders=0; MaxOrdersPerType=35;
       23  538.09         1900          1.48            0.28     106.47       5.12 Bands_TrailingStopMethod=23; MaxOrders=0; MaxOrdersPerType=35;
       12  519.05         1185          1.76            0.44      45.89       2.02 Bands_TrailingStopMethod=11; MaxOrders=0; MaxOrdersPerType=35;
       24  517.51         1812          1.49            0.29      71.24       3.43 Bands_TrailingStopMethod=24; MaxOrders=0; MaxOrdersPerType=35;
       20  500.55          812          1.85            0.62      52.27       2.53 Bands_TrailingStopMethod=20; MaxOrders=0; MaxOrdersPerType=35;
        4  340.54          900          1.95            0.38      13.61       0.68  Bands_TrailingStopMethod=3; MaxOrders=0; MaxOrdersPerType=35;
        5  300.12          850          1.61            0.35      18.05       0.89  Bands_TrailingStopMethod=4; MaxOrders=0; MaxOrdersPerType=35;
       10  250.67          615          1.73            0.41      33.65       1.51  Bands_TrailingStopMethod=9; MaxOrders=0; MaxOrdersPerType=35;
       26  229.21         1821          1.30            0.13      34.01       1.69 Bands_TrailingStopMethod=26; MaxOrders=0; MaxOrdersPerType=35;
       25  229.21         1821          1.30            0.13      34.01       1.69 Bands_TrailingStopMethod=25; MaxOrders=0; MaxOrdersPerType=35;
       22  203.96          405          1.51            0.50      57.68       2.83 Bands_TrailingStopMethod=22; MaxOrders=0; MaxOrdersPerType=35;
        9  167.30          472          1.34            0.35     103.86       5.02  Bands_TrailingStopMethod=8; MaxOrders=0; MaxOrdersPerType=35;
        7  109.29          457          1.20            0.24      70.44       3.44  Bands_TrailingStopMethod=6; MaxOrders=0; MaxOrdersPerType=35;
       27  -13.63           49          0.71           -0.28      36.11       1.79 Bands_TrailingStopMethod=27; MaxOrders=0; MaxOrdersPerType=35;
        2  -47.15           63          0.70           -0.75     111.10       5.49  Bands_TrailingStopMethod=1; MaxOrders=0; MaxOrdersPerType=35;
        8  -47.48          132          0.83           -0.36     121.86       5.88  Bands_TrailingStopMethod=7; MaxOrders=0; MaxOrdersPerType=35;
        1  -47.48          132          0.83           -0.36     121.86       5.88  Bands_TrailingStopMethod=0; MaxOrders=0; MaxOrdersPerType=35;
       21  -49.81           63          0.69           -0.79     113.76       5.62 Bands_TrailingStopMethod=21; MaxOrders=0; MaxOrdersPerType=35;
       18  -49.81           63          0.69           -0.79     113.76       5.62 Bands_TrailingStopMethod=18; MaxOrders=0; MaxOrdersPerType=35;
       17  -49.81           63          0.69           -0.79     113.76       5.62 Bands_TrailingStopMethod=17; MaxOrders=0; MaxOrdersPerType=35;
       14  -49.81           63          0.69           -0.79     113.76       5.62 Bands_TrailingStopMethod=13; MaxOrders=0; MaxOrdersPerType=35;
       13  -49.81           63          0.69           -0.79     113.76       5.62 Bands_TrailingStopMethod=12; MaxOrders=0; MaxOrdersPerType=35;
